Step No	Action/Description	Input	Expected Results	Actual Results	Status	Comments
53	Select country and verify selection	Select United States	United States should be displayed as selected			
54	Submit form without selecting country	No selection	Error message should be displayed - country selection is mandatory			
55	Verify all countries are listed	Scroll through dropdown	All major countries should be available in the list			
56	Test dropdown keyboard navigation	Use arrow keys to navigate	Should be able to navigate through options using keyboard			
57	Verify country selection is retained	Select country, navigate away and back	Previously selected country should remain selected			
58	Test partial country name search	Type Unit	Countries containing Unit should be filtered			
59	Test case-insensitive search	Type INDIA	Should find India regardless of case			
60	Test dropdown with special characters	Type country with accents	Should find countries with special characters			
61	Test clicking outside dropdown	Click outside after opening	Dropdown should close without selection change			
62	Test dropdown scrolling	Scroll through long list	Should be able to scroll through all countries			
63	Test selecting first option	Select first country in list	First country should be selected			
64	Test selecting last option	Select last country in list	Last country should be selected			
65	Following are the steps to test Password Text field				
66	Enter valid strong password	Password@123	Password should be accepted, characters should be masked			
67	Enter password with minimum required length	Pass@1	Password should be accepted if meets minimum criteria			
68	Enter password below minimum length	123	Error message should be displayed - password too short			
69	Enter password without uppercase letter	password@123	Error message should be displayed - uppercase required			
70	Enter password without lowercase letter	PASSWORD@123	Error message should be displayed - lowercase required			
71	Enter password without numbers	Password@	Error message should be displayed - number required			
72	Enter password without special characters	Password123	Error message should be displayed - special character required			
73	Enter only alphabets in password	Password	Error message should be displayed - missing numbers/special chars			
74	Enter only numbers in password	123456789	Error message should be displayed - missing alphabets/special chars			
75	Enter password exceeding maximum length	ThisIsAVeryLongPasswordThatExceedsTheMaximumAllowedLengthForPasswordField123@	Error message should be displayed - password too long			
76	Enter blank spaces in password field	   	Error message should be displayed - password cannot be empty			
77	Leave password field empty		Error message should be displayed - password is mandatory			
78	Verify password masking	Type any password	Characters should be displayed as dots/asterisks for security			
79	Test show/hide password toggle	Click eye icon (if available)	Password should toggle between masked and visible text			
80	Enter common weak passwords	123456	Error message should be displayed - password too weak			
81	Enter common weak passwords	password	Error message should be displayed - password too weak			
82	Enter common weak passwords	admin	Error message should be displayed - password too weak			
83	Enter password with only special characters	@#$%^&*()	Error message should be displayed - missing alphabets/numbers			
84	Enter password with spaces	Pass word@123	Error message should be displayed - spaces not allowed			
85	Enter password with leading spaces	 Password@123	System should trim spaces or show error			
86	Enter password with trailing spaces	Password@123 	System should trim spaces or show error			
87	Test copy-paste in password field	Copy and paste password	Password should be pasted and masked			
88	Test password strength indicator	Enter various passwords	Password strength should be indicated (weak/medium/strong)			
89	Enter password with consecutive characters	abcd@123	Error message should be displayed if consecutive chars not allowed			
90	Enter password with repeated characters	aaaa@123	Error message should be displayed if repeated chars not allowed			
91	Enter password with dictionary words	Password@123	Error message should be displayed if dictionary words not allowed			
92	Enter password with user information	john@123 (if username is john)	Error message should be displayed - password contains user info			
93	Test password confirmation field	Enter different passwords	Error message should be displayed - passwords do not match			
94	Test password confirmation field	Enter same passwords	Passwords should match without error			
95	Following are the steps to test Complete Form Submission				
96	Submit form with all valid inputs	Fill all fields with valid data	Registration should be successful, confirmation message displayed			
97	Submit form with one invalid field	Valid data except first name	Error message should be displayed for invalid field			
98	Submit completely empty form	All fields empty	Error messages should be displayed for all mandatory fields			
99	Test form validation order	Submit with multiple errors	Errors should be displayed in logical order (top to bottom)			
100	Verify form reset functionality	Fill form and click Reset	All fields should be cleared to default state			
101	Test form submission with network error	Submit form during network issue	Appropriate error message should be displayed			
102	Test form auto-save functionality	Fill form partially and refresh	Form data should be retained (if auto-save enabled)			
103	Test form submission timeout	Submit form with slow network	Timeout error should be handled gracefully			
104	Test multiple form submissions	Click submit button multiple times	Should prevent multiple submissions			
105	Test browser back button after submission	Submit form and click back	Should handle navigation appropriately			
106	Test form validation on field blur	Move focus from invalid field	Error should be displayed immediately			
107	Test form validation on field focus	Focus on field with error	Error should be cleared when user starts typing			
108	Test responsive design on mobile	Access form on mobile device	Form should be responsive and usable on mobile			
109	Test form accessibility	Use screen reader	Form should be accessible with proper labels and descriptions			
110	Test browser autofill	Use browser autofill feature	Form should work properly with autofilled data
